@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
108,265,3,36,1
22,649,7,53,1
340,1182,0,206,1
7,230,45,105,1
47,922,0,78,1
87,752,10,119,1
7,203,34,116,0
82,1162,1,223,0
11,1190,1,218,1
102,920,0,138,1
1141,558,3,104,1
18,331,3,87,0
42,1184,3,77,1
15,888,22,159,1
1590,839,1,170,1
149,247,4,41,1
46,1077,5,214,1
96,1166,0,102,1
12,915,14,59,0
27,1459,1,256,0
43,1425,2,255,1
48,870,0,140,0
26,327,14,83,1
134,907,1,73,1
37,896,0,88,0
33,1213,8,127,1
19,411,0,42,1
95,454,3,87,1
66,418,0,46,1
58,1246,11,243,1
36,0,0,18,1
90,415,0,33,1
74,1001,5,75,0
25,107,5,39,1
33,219,1,107,0
34,650,3,134,1
72,566,22,67,1
80,1226,5,146,0
57,149,8,66,1
55,1088,46,216,1
64,613,18,82,1
30,785,3,76,0
161,1196,10,206,1
13,218,49,129,1
26,1242,1,149,1
22,1373,0,163,0
7,274,2,84,0
60,600,1,136,1
110,923,0,118,1
32,735,5,80,1
90,328,10,64,1
185,802,11,121,1
14,1251,0,185,1
21,357,1,68,1
6,351,2,22,1
7,738,0,149,1
199,547,1,41,1
91,268,11,39,1
28,1138,0,89,0
18,231,1,69,1
10,703,10,66,0
208,556,2,64,0
67,359,5,70,1
27,1127,11,107,1
52,180,3,22,1
44,756,15,148,1
14,1031,3,58,1
79,342,1,42,0
73,194,0,29,1
121,922,2,118,1
35,210,13,34,1
92,158,2,63,1
101,1078,5,214,1
59,613,6,72,1
6,360,8,19,1
281,263,0,38,1
29,919,0,118,1
59,110,3,33,1
5,291,0,90,0
31,1527,29,264,1
37,239,0,123,1
66,130,2,62,0
28,536,3,101,1
50,279,4,87,0
155,573,2,71,1
188,217,0,10,1
4,576,4,55,1
65,597,5,111,0
74,247,4,93,0
