@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
0,481,0,698,1,365
0,550,10,844,8,365
0,842,1,1097,1,14
0,271,7,484,1,90
0,599,4,851,26,90
0,522,1,807,3,180
0,504,2,739,89,1000
0,448,0,655,1,14
0,263,0,542,139,1000
0,101,14,213,9,365
0,113,0,266,2,365
60,156,0,270,0,1000
0,87,0,153,1,1000
0,100,0,173,1,1000
0,90,0,179,0,365
0,128,0,195,0,30
0,168,9,315,38,180
0,466,6,730,4,90
0,124,0,206,0,1000
0,774,0,1060,1,180
0,159,0,324,0,180
0,493,0,709,1,365
0,563,0,821,2,90
0,134,0,207,0,1000
0,633,0,914,13,90
0,150,49,381,1,90
0,132,0,316,0,90
0,522,2,824,1,180
0,130,0,223,0,1000
0,589,0,856,2,90
0,98,0,176,1,1000
3,18,0,17,0,1000
0,470,0,669,1,365
0,493,3,838,2,180
0,256,12,509,12,90
0,392,1,642,6,180
0,771,0,1060,1,30
0,379,0,656,4,14
0,289,0,536,99,1000
0,124,0,215,0,1000
0,715,0,1009,1,90
0,483,2,825,2,180
0,389,0,687,7,90
0,690,2,950,9,90
0,137,0,245,0,1000
0,183,19,304,25,180
0,798,51,1027,313,180
150,845,0,1111,1,180
0,596,0,879,2,90
0,672,6,922,77,365
0,143,0,247,0,1000
0,433,0,654,1,365
62,163,0,272,0,1000
0,745,2,1007,161,365
0,657,0,942,12,365
0,348,1,585,6,180
0,504,2,849,0,180
0,384,1,631,6,180
0,296,0,502,12,180
0,150,0,377,1,90
0,768,7,1030,1,365
0,117,6,244,2,365
0,113,2,323,0,180
0,637,1,904,13,90
0,835,0,1102,1,365
0,520,2,822,1,180
0,116,0,204,1,1000
0,780,2,1067,233,365
0,496,2,805,6,90
3,21,0,36,0,1000
0,439,0,636,4,365
0,575,2,827,24,1000
2,489,0,808,3,180
0,645,2,931,12,365
17,257,32,509,8,90
0,149,26,390,0,1000
0,475,0,692,1,365
