@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
1106,701,365
842,882,1000
0,285,1000
1310,1102,1000
1210,747,1000
0,399,180
778,855,1000
1394,1125,1000
0,548,1000
498,376,1000
1250,989,365
988,893,365
0,569,90
985,931,180
892,698,1000
1292,1020,1000
580,645,180
1443,1019,365
1182,686,90
926,696,1000
1132,949,1000
1118,720,365
0,519,90
1447,909,365
666,570,1000
0,198,1000
874,625,365
1124,733,7
1190,807,1000
1285,917,365
1050,749,90
0,589,365
1102,751,1000
1308,1064,180
1188,747,90
1248,809,180
0,577,180
990,888,90
1110,749,365
0,211,1000
1224,750,90
621,709,365
0,266,1000
1034,900,90
1204,732,365
0,544,1000
1220,1043,180
0,615,365
0,449,1000
1194,917,1000
0,629,180
0,293,1000
0,527,1000
0,611,1000
1346,921,1000
1524,1183,1000
1310,775,90
0,261,90
0,559,1000
0,601,1000
922,997,365
1373,1034,90
0,582,180
1402,1050,365
916,954,90
1494,1161,1000
562,672,180
1114,685,1000
910,949,90
0,539,365
1064,910,365
0,248,30
1250,1031,1000
936,709,1000
1035,963,180
641,696,180
0,504,7
0,440,90
596,578,365
1328,1110,1000
0,384,30
1418,819,180
684,514,365
1184,728,90
656,469,365
550,507,1000
478,336,365
560,723,180
763,813,1000
0,285,14
474,442,365
0,406,1000
0,548,1000
914,654,365
856,922,90
1248,924,365
1338,1100,180
966,885,90
0,618,365
0,611,365
0,408,14
888,930,365
814,955,90
0,509,365
1568,800,180
996,891,1000
1038,748,180
609,719,90
992,678,365
1338,1101,14
1172,776,1000
0,290,1000
1320,1088,1000
1114,819,90
0,330,1000
0,280,1000
0,563,1000
1120,688,1000
1114,876,1000
0,280,1000
0,448,1000
854,673,180
1258,816,365
618,630,1000
758,821,1000
0,580,90
0,248,90
818,866,30
0,613,365
0,566,1000
782,584,1000
958,916,180
602,567,365
1182,935,90
609,722,365
756,819,1000
1312,1067,180
1454,1145,1000
0,614,365
1504,1156,1000
962,866,90
0,630,1000
615,705,90
770,546,180
626,651,365
1427,998,90
1439,980,90
1484,786,180
0,561,1000
546,505,1000
0,500,1000
0,563,1000
0,642,365
0,283,1000
0,583,365
785,818,90
884,678,1000
882,664,365
0,258,1000
930,696,1000
1284,1073,1000
901,832,180
564,645,1000
592,694,1000
1442,1146,90
836,664,1000
638,564,1000
1268,783,365
1142,755,1000
998,904,90
560,671,180
0,532,1000
0,375,1000
783,801,90
1088,739,1000
0,225,1000
909,828,1000
0,281,1000
1102,820,180
0,292,1000
0,345,90
972,691,180
1146,938,365
1141,916,30
1114,843,365
1412,1091,90
1250,763,365
0,334,1000
0,353,1000
550,715,180
1128,833,180
1318,1076,180
630,671,1000
780,579,365
0,229,14
1132,956,365
944,730,1000
0,536,1000
1248,803,1000
1518,811,1000
0,334,365
0,244,1000
0,600,180
0,620,365
606,569,365
856,623,365
771,813,90
1265,908,1000
1206,995,1000
962,742,1000
0,293,1000
0,375,30
600,623,1000
1156,951,1000
974,712,1000
0,268,1000
710,531,1000
1308,1073,180
0,342,1000
0,275,1000
1364,839,1000
1360,1020,1000
1020,972,90
1314,1102,1000
1068,913,180
0,348,1000
1172,871,30
420,352,365
0,186,1000
1228,760,90
0,603,1000
0,237,90
0,291,1000
0,282,1000
0,588,1000
0,304,90
1218,810,90
1012,984,1000
791,878,365
710,749,180
868,912,180
0,286,1000
0,571,365
1375,895,180
0,611,365
952,693,1000
1438,879,1000
876,711,1000
1318,750,180
0,314,90
0,181,1000
899,760,1000
636,585,1000
952,768,1000
0,371,1000
0,438,1000
562,674,1000
0,570,180
0,608,365
0,570,180
0,363,1000
0,570,14
765,796,1000
836,1008,180
1058,996,365
720,532,365
332,563,1000
0,601,180
1480,778,1000
1380,810,180
889,753,1000
1376,1059,90
0,363,14
788,648,365
1450,963,1000
0,565,1000
899,779,180
0,365,1000
0,223,30
1046,984,1000
1146,748,1000
964,917,365
0,614,365
770,542,365
0,73,180
1444,1006,90
1090,942,1000
0,569,14
0,446,90
0,360,1000
576,802,180
626,603,1000
472,347,365
906,680,1000
1324,1011,90
0,348,1000
754,817,90
0,559,90
634,697,365
