This file contains summary statistics (precision, recall, pf, f1, ROC) for the generated models.
Each section contains the ten (prec pd pf F1 ROC) stats calculated for each fold in 10-fold cross validation, with the dataset being cross-validated listed at the top of the section.

camelbefore14
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.5
0 0 0 0 0.448
0 0 0 0 0.448
0 0 0 0 0.448
0 0 0 0 0.446
0 0 0 0 0.448
0 0 0 0 0.448
0 0 0 0 0.449
0 0 0 0 0.449

qpidbefore30
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.467
0 0 0 0 0.471
0 0 0 0 0.475
0 0 0 0 0.473
0 0 0 0 0.469
0 0 0 0 0.467
0 0 0 0 0.469
0 0 0 0 0.47
0 0 0 0 0.466

qpidbefore7
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.496
0 0 0 0 0.497
0 0 0 0 0.492
0 0 0 0 0.474
0 0 0 0 0.468
0 0 0 0 0.461
0 0 0 0 0.463
0 0 0 0 0.461
0 0 0 0 0.46

qpidbefore90
prec  pd    pf    F1    ROC
0.597 0.355 0.068 0.446 0.652
0.583 0.335 0.068 0.425 0.653
0.605 0.334 0.064 0.431 0.665
0.598 0.32 0.062 0.417 0.664
0.614 0.323 0.059 0.423 0.666
0.616 0.32 0.057 0.422 0.666
0.614 0.307 0.056 0.409 0.663
0.599 0.304 0.058 0.403 0.66
0.611 0.313 0.057 0.414 0.664
0.607 0.309 0.057 0.409 0.663

